step,temperature,gamma,epsilon,group_count,row_count,normalized_kendall_distance_mean,normalized_kendall_distance_p90,spearman_rank_corr_mean,spearman_rank_corr_p90,z_advantage_corr_mean,z_advantage_corr_p90,z_advantage_sign_flip_rate_mean,z_advantage_sign_flip_rate_p90,mean_abs_z_advantage_delta_mean,mean_abs_z_advantage_delta_p90,top1_same_rate_mean,top1_same_rate_p90
1,0.1,6.0,0.01,64,1024,0.16712239583333333,0.2570833333333334,0.7892661973696362,0.9423134523820857,0.8323535358648217,0.9377163423566987,0.2177734375,0.3562500000000002,0.44692888326009444,0.6285108978814395,0.296875,1.0
1,0.1,6.0,0.02,64,1024,0.16510416666666666,0.2570833333333334,0.7923948323160569,0.9425509950512371,0.8340301526365727,0.9395212379571114,0.2158203125,0.3125,0.4446260865855768,0.6264245063150736,0.296875,1.0
1,0.1,6.0,0.05,64,1024,0.163671875,0.25416666666666665,0.7956432340453523,0.9427917164702782,0.8388984333984962,0.9444468320318594,0.2099609375,0.3125,0.43782130377119266,0.6198025723725108,0.328125,1.0
1,0.1,6.0,0.1,64,1024,0.1609375,0.25416666666666665,0.8028576378556609,0.9427917164702782,0.8465113959469692,0.9503170536382837,0.205078125,0.3125,0.42682831010887134,0.6082667685057906,0.34375,1.0
1,0.1,6.0,0.2,64,1024,0.15546875,0.24875,0.8129554760487641,0.9455002078387216,0.8602201438033439,0.9529074925664174,0.2001953125,0.3125,0.406466199162834,0.5827425315430577,0.375,1.0
1,0.1,6.5,0.0,64,1024,0.16829427083333334,0.25833333333333336,0.7871888963803255,0.9423134523820857,0.8244803250333428,0.9314093791055871,0.22265625,0.375,0.45766599482818326,0.6380750925312975,0.28125,1.0
1,0.1,6.5,0.01,64,1024,0.16829427083333334,0.25833333333333336,0.7875333715969702,0.9423134523820857,0.82614146932301,0.9326851617171984,0.2216796875,0.375,0.4553373508777676,0.6364388572088636,0.28125,1.0
1,0.1,6.5,0.02,64,1024,0.16751302083333333,0.2570833333333334,0.7881854862796698,0.9425509950512371,0.8277783458492879,0.934487223486454,0.220703125,0.375,0.4530742836810341,0.6347448693875508,0.28125,1.0
1,0.1,6.5,0.05,64,1024,0.165625,0.2570833333333334,0.791395724833639,0.9425509950512371,0.8325464765202799,0.9396615077614352,0.21875,0.375,0.4464654962741039,0.6293237943514642,0.296875,1.0
1,0.1,6.5,0.1,64,1024,0.16354166666666667,0.25416666666666665,0.7967194051506288,0.9427917164702782,0.8400432992836909,0.9461558857136656,0.20703125,0.3125,0.4359894191906426,0.6192141388708848,0.34375,1.0
1,0.1,6.5,0.2,64,1024,0.15768229166666667,0.24875,0.8090390717677447,0.9455002078387216,0.8536067592500308,0.9520272074367273,0.2041015625,0.3125,0.41613531877488563,0.5961886515985951,0.359375,1.0
1,0.1,7.0,0.0,64,1024,0.17076822916666667,0.25833333333333336,0.783664211823255,0.9403587443946186,0.81890819603825,0.9280323799401783,0.2265625,0.375,0.4652194718099731,0.6465682273251276,0.28125,1.0
1,0.1,7.0,0.01,64,1024,0.17063802083333332,0.25833333333333336,0.7837560920828639,0.9403587443946186,0.8205209990825761,0.9293488258285206,0.2255859375,0.375,0.4629552840185591,0.6442244793135575,0.28125,1.0
1,0.1,7.0,0.02,64,1024,0.16946614583333333,0.25833333333333336,0.7852138257348323,0.9408074894984388,0.8221125696823378,0.9306196123332662,0.224609375,0.375,0.4607284089919018,0.6418079861408407,0.28125,1.0
1,0.1,7.0,0.05,64,1024,0.166796875,0.2570833333333334,0.7891119144449118,0.9425509950512371,0.8267618744727627,0.934964684815572,0.220703125,0.375,0.45428877583690924,0.6366411473661354,0.296875,1.0
1,0.1,7.0,0.1,64,1024,0.164453125,0.2570833333333334,0.7934308519175172,0.9427917164702782,0.8341092064351984,0.9427474008409105,0.216796875,0.3562500000000002,0.44411876876921486,0.628266290938745,0.3125,1.0
1,0.1,7.0,0.2,64,1024,0.16028645833333333,0.25416666666666665,0.8033451309716385,0.9432103143705772,0.8474811576433154,0.9511721273210793,0.205078125,0.3125,0.4250348980628753,0.6081031276211163,0.34375,1.0
1,0.1,7.5,0.0,64,1024,0.1716796875,0.26666666666666666,0.781045082663481,0.9422081804593014,0.8138694362361247,0.9262593070900005,0.2265625,0.375,0.472028229744522,0.6535895658021903,0.28125,1.0
1,0.1,7.5,0.01,64,1024,0.17115885416666668,0.26666666666666666,0.7823857934743258,0.9422081804593014,0.8154312865049739,0.9269543174535666,0.2275390625,0.375,0.46985619673167706,0.6516285674142879,0.28125,1.0
1,0.1,7.5,0.02,64,1024,0.17102864583333333,0.2654166666666667,0.7833921560723951,0.9403587443946186,0.8169745303854771,0.9276170779231825,0.2265625,0.375,0.46769270434162563,0.6495998572976033,0.28125,1.0
